Sample me,Location,Latitude,Longitude,Sampling time (Hrs),Temperature,COND,pH ,Turb NTU,CHLA RFU,CDOM RFU,TRPN RFU,TH ppm,TSS mg/L,COD mg/L,BOD mg/L,DO mg/L,NO3 ppm,NO2 ppm,NH4 ppm,Cl ppm,Na ppm,K ppm,Ca ppm,Mg ppm,TC cfu/100ml,FC cfu/100ml
GDVR_NRSP_20180105_st_02,NRSP,16.44339,81.73052,9:00,24.63,12290,7.35,7.3,901.2,1065.6,57.6,1071,27.3,220,8.7,2.7,3.1,,0.2,8505,48.01,1.75,18.4,38.4,16,10
GDVR_NRSP_20180105_st_03,NRSP,16.43442,81.70674,9:40,25.53,17880,7.57,3.5,922.4,427.6,43.1,1773,30,420,8.7,5.81,4.1,,0.2,13500,80.13,2.89,26.4,65.6,14,9
GDVR_RJMN_20180106_st_01,RJMN,16.99888,81.76821,7:40,23.88,105.1,6.66,3.4,,,,135,18,65,4.3,5.5,2.6,,0.2,135,12.98,2.92,12.8,2.4,17,7
GDVR_RJMN_20180106_st_02,RJMN,17.02877,81.76802,8:15,23.62,177.8,7.35,4.8,2845.2,1175.6,73.8,72,40,90,3.1,6.57,3.2,,0.2,180,28.1,3.81,15.2,4.4,11,6
GDVR_RJMN_20180106_st_03,RJMN,17.02511,81.7528,8:45,23.91,74.9,7.75,1.5,189.7,256.5,31.5,216,14,45,2.3,7.2,0.8,,0.2,90,7.59,1.85,11.2,4,14,8
GDVR_RJMN_20180106_st_04,RJMN,16.95484,81.7819,10:20,24.35,536,6.88,6.6,386.4,646.4,147.8,207,58,110,3,6.77,4.1,,0.2,180,82.04,18.52,13.6,2.4,15,10
GDVR_NRSP_20180119_st_01,NRSP,16.99898,81.76821,7:40,,459,6.81,2.8,,,,701.6,26,60,3.9,5.85,1.2,,0.2,585,19.76,8.68,4,1.2,24,18
GDVR_NRSP_20180119_st_02,NRSP,17.0288,81.76805,8:15,,1378,6.74,8.3,,,,1052.4,42,120,1.6,6.25,2.1,,0.2,630,120,14.6,8,0.8,20,12
GDVR_NRSP_20180119_st_03,NRSP,17.02202,81.75982,8:45,,387,7.13,1.1,,,,350.8,13,40,5.4,7.14,1.2,,0.2,675,7.28,1.76,3.2,,22,14
GDVR_NRSP_20180119_st_04,NRSP,16.95488,81.78202,10:20,,596,6.97,6.4,,,,1227.8,29,80,5.4,4.47,2.6,,0.2,270,75.1,18.14,6.4,2.4,,
